20180425_22-15_30,737175.9274653,737175.9278125,Sony4K
20180425_22-14_13,737175.9264468,737175.9265972,Sony4K
20180425_22-13_13,737175.9261806,737175.926331,Sony4K
20180425_22-12_11,737175.9250926,737175.9252199,Sony4K
20180425_22-07_30,737175.9220833,737175.9224306,Sony4K
20180425_22-04_15,737175.920081,737175.9202546,Sony4K
20180425_21-01_3481,737175.8757292,737175.9160185,Sony4K
20180425_18-01_10757,737175.7509838,737175.8754861,Sony4K
20180425_16-33_5183,737175.6897801,737175.7497569,Sony4K
20180425_16-17_129,737175.6789699,737175.680463,Sony4K
20180425_16-15_72,737175.6772917,737175.678125,Sony4K
20180425_22-23_38,737175.933125,737175.9335648,Sony4K
20180425_16-13_29,737175.6758333,737175.6761458,Sony4K
